i_new,revenu,Unnamed:_2,Freq_Nombre_de_Jours_sans_pluie,nbjour,nbjsp,uc1,revenu,revenu,nbpers,nenf,naa,nana,jardin,Piscine_1__oui,Assainissement_Collectif_1__oui,NonAssaini,maison,retraité_1__oui,proprio_1__oui,id_projet,SNWA,Garden_Weather,UC_Oxford,UC_OCDE,Niveau_vie_Oxford,Niveau_vie_OCDE
118,1676.9186425649332,118,0.7183908045977011,174,125,2.7,3,1003,4,2,0,2,1,0,1,0,1,0,1,1,1.0,0.7183908045977011,2.7,2.1,,
221,3608.1655937075648,221,0.10480349344978165,229,24,1.7,1,2187,2,0,2,0,1,0,0,1,1,0,1,1,0.0,0.10480349344978165,1.7,1.5,,
383,7492.261937595204,383,0.539906103286385,213,115,2.7,2,3564,4,2,0,2,1,0,0,1,1,1,1,1,1.0,0.539906103286385,2.7,2.1,,
80,1030.9638412108034,80,0.7135416666666666,192,137,3.9,1,2035,6,3,2,1,0,0,0,1,0,0,0,1,0.3333333333333333,0.0,3.9,2.9,,
449,218.7120631580783,449,0.6351351351351351,74,47,1.7,6,4603,2,0,2,0,1,1,0,1,1,0,1,1,0.0,0.6351351351351351,1.7,1.5,,
10,1386.2490102750019,10,0.2967032967032967,91,27,3.1,1,2058,4,0,2,2,1,0,0,1,1,1,1,1,0.5,0.2967032967032967,3.0999999999999996,2.5,,
276,1793.3379636829775,276,0.6421052631578947,190,122,3.1,3,1106,4,0,1,3,0,0,1,0,0,1,0,1,0.75,0.0,3.0999999999999996,2.5,,
385,3494.781640526374,385,0.7793103448275862,145,113,2.7,2,3564,4,2,0,2,1,0,0,1,1,1,1,1,1.0,0.7793103448275862,2.7,2.1,,
249,5894.706503619498,249,0.4918032786885246,183,90,1.7,2,3564,2,0,0,2,1,0,0,1,1,1,1,1,1.0,0.4918032786885246,1.7,1.5,,
424,536.4419982743586,424,0.6519337016574586,181,118,1.7,3,1106,2,0,0,2,1,0,1,0,1,1,1,1,1.0,0.6519337016574586,1.7,1.5,,
114,600.6703387029997,114,0.6298701298701299,154,97,1.0,3,1106,1,0,0,1,1,0,1,0,1,1,0,1,1.0,0.6298701298701299,1.0,1.0,,
453,486.3368477867958,453,0.7361963190184049,163,120,2.2,4,426,3,1,0,2,0,0,1,0,0,0,0,1,1.0,0.0,2.2,1.8,,
77,2192.5179802893495,77,0.625,152,95,2.7,3,1093,4,2,2,0,1,0,0,1,1,0,1,1,0.0,0.625,2.7,2.1,,
282,5846.587335877641,282,0.2079207920792079,101,21,3.6,2,3569,5,1,1,3,0,0,1,0,0,0,1,1,0.75,0.0,3.5999999999999996,2.8,,
323,737.5211938569707,323,0.8656716417910447,67,58,1.7,4,426,2,0,0,2,1,0,1,0,0,0,0,1,1.0,0.8656716417910447,1.7,1.5,,
125,2411.3938767892923,125,0.628099173553719,121,76,2.7,6,2848,4,2,2,0,1,0,1,0,1,0,1,1,0.0,0.628099173553719,2.7,2.1,,
79,678.6799842147329,79,0.8430232558139535,172,145,3.9,1,2035,6,3,2,1,0,0,0,1,0,0,0,1,0.3333333333333333,0.0,3.9,2.9,,
290,3241.602567106255,290,0.7071823204419889,181,128,3.8,6,1587,5,0,0,5,1,0,1,0,1,1,1,1,1.0,0.7071823204419889,3.8,3.0,,
91,384.86695757200437,91,0.6219512195121951,164,102,2.9,4,548,4,1,0,3,1,0,0,1,1,0,1,1,1.0,0.6219512195121951,2.9,2.3,,
