i_new,Revenu_Imputé_2,Unnamed: 2,Freq Nombre de Jours sans pluie,nbjour,nbjsp,uc1,revenu,Revenu imputé,nbpers,nenf,naa (Nombre d'adultes actifs),nana (Nombre d'adultes non actifs),jardin (1 = oui),Piscine (1 = oui),Assainissement Collectif (1 = oui),NonAssaini,maison (1 = oui),retraité (1 = oui),proprio (1 = oui),id_projet
192,670.8124118484911,192,0.48633879781420764,183,89,1.0,4,426,1,0,0,1,1,0,0,1,1,0,0,1
193,3062.8446642569115,193,0.358695652173913,92,33,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1
194,5185.238969107986,194,0.29591836734693877,98,29,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1
195,4469.195379770632,195,0.265625,128,34,1.7,1,2058,2,0,0,2,1,0,0,1,1,1,1,1
196,592.5543765506293,196,0.8586956521739131,92,79,2.4,3,1106,3,0,1,2,1,0,1,0,0,1,0,1
197,708.1012223159019,197,1.3454545454545455,55,39,2.4,3,1106,3,0,1,2,1,0,1,0,0,1,0,1
198,2918.71668172225,198,0.3129251700680272,147,46,2.4,3,1106,3,0,1,2,1,0,1,0,0,1,0,1
199,5956.245566900886,199,0.30131004366812225,229,69,2.4,1,2067,3,0,2,1,0,0,1,0,0,0,0,1
200,3519.342358983532,200,0.42483660130718953,153,65,2.4,1,2067,3,0,2,1,0,0,1,0,0,0,0,1
201,646.7920270040839,201,0.32653061224489793,98,32,1.0,4,560,1,0,0,1,0,0,1,0,0,1,0,1
202,1110.8665704181956,202,0.34065934065934067,91,31,1.0,4,560,1,0,0,1,0,0,1,0,0,1,0,1
203,415.8611041816775,203,0.2890625,128,37,1.0,4,560,1,0,0,1,0,0,1,0,0,1,0,1
204,2052.363364004756,204,0.4666666666666667,210,98,1.5,3,1110,2,1,0,1,1,0,1,0,1,0,0,1
205,2091.880122088075,205,0.4056603773584906,212,86,1.5,3,1110,2,1,0,1,1,0,1,0,1,0,0,1
206,1584.3070898799297,206,0.6037735849056604,159,96,1.5,3,1110,2,1,0,1,1,0,1,0,1,0,0,1
207,965.7073897620645,207,0.6881720430107527,186,128,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
208,1313.2266131902957,208,0.7202380952380952,168,121,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
209,2504.5138542049754,209,0.8372093023255814,172,144,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
210,1628.0791379601455,210,0.7900552486187845,181,143,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1
211,2056.1211304525195,211,0.7752808988764045,178,138,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1
212,2563.034519672984,212,0.8470588235294118,170,144,1.7,3,1106,2,0,0,2,1,0,0,1,1,1,1,1
213,1274.4866144196233,213,0.21022727272727273,176,37,3.2,3,1217,5,3,1,1,0,0,1,0,1,0,0,1
214,1941.8790096196058,214,0.15934065934065933,182,29,3.2,3,1217,5,3,1,1,0,0,1,0,1,0,0,1
215,1686.55999749468,215,0.29508196721311475,183,54,3.2,3,1217,5,3,1,1,0,0,1,0,1,0,0,1
216,732.5430902774203,216,0.2713178294573643,129,35,2.7,1,2035,4,2,1,1,1,0,1,0,1,0,1,1
217,1120.852717430999,217,0.24175824175824176,182,44,4.1,3,1093,6,2,1,3,1,0,0,1,1,0,1,1
218,967.0041384004721,218,0.5670103092783505,97,55,2.7,3,1093,4,2,1,1,1,0,0,1,1,0,1,1
